지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소,avg_P10,avg_P25,CAI,CAI_value,CAI_main_factor
대전 유성구,도시대기,525141,구성동,2018070101,0.002,0.3,0.033,0.007,13.0,2.0,대전 유성구 대학로 407 보건환경연구원,13.0,2.0,53,"[5.0, 7.5, 52.66101694915255, 11.666666666666668, 21.666666666666668, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070102,0.002,0.3,0.041,0.006,11.0,2.0,대전 유성구 대학로 407 보건환경연구원,12.0,2.0,59,"[5.0, 7.5, 59.30508474576271, 10.0, 20.0, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070103,0.002,0.3,0.029,0.006,8.0,3.0,대전 유성구 대학로 407 보건환경연구원,11.0,2.0,48,"[5.0, 7.5, 48.333333333333336, 10.0, 18.333333333333336, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070104,0.002,0.3,0.025,0.006,8.0,2.0,대전 유성구 대학로 407 보건환경연구원,10.0,2.0,42,"[5.0, 7.5, 41.66666666666667, 10.0, 16.666666666666668, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070105,0.002,0.3,0.031,0.006,10.0,3.0,대전 유성구 대학로 407 보건환경연구원,10.0,2.0,51,"[5.0, 7.5, 51.0, 10.0, 16.666666666666668, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070106,0.002,0.4,0.034,0.006,13.0,2.0,대전 유성구 대학로 407 보건환경연구원,10.0,2.0,53,"[5.0, 10.0, 53.49152542372882, 10.0, 16.666666666666668, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070107,0.002,0.4,0.037,0.006,12.0,3.0,대전 유성구 대학로 407 보건환경연구원,11.0,2.0,56,"[5.0, 10.0, 55.983050847457626, 10.0, 18.333333333333336, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070108,0.002,0.4,0.033,0.006,9.0,2.0,대전 유성구 대학로 407 보건환경연구원,11.0,2.0,53,"[5.0, 10.0, 52.66101694915255, 10.0, 18.333333333333336, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070109,0.002,0.4,0.028,0.006,6.0,2.0,대전 유성구 대학로 407 보건환경연구원,10.0,2.0,47,"[5.0, 10.0, 46.66666666666667, 10.0, 16.666666666666668, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070110,0.002,0.4,0.03,0.006,6.0,3.0,대전 유성구 대학로 407 보건환경연구원,9.0,2.0,50,"[5.0, 10.0, 50.0, 10.0, 15.0, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070111,0.002,0.4,0.027,0.006,6.0,2.0,대전 유성구 대학로 407 보건환경연구원,8.0,2.0,45,"[5.0, 10.0, 45.0, 10.0, 13.333333333333334, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070112,0.002,0.4,0.026,0.006,6.0,2.0,대전 유성구 대학로 407 보건환경연구원,8.0,2.0,43,"[5.0, 10.0, 43.333333333333336, 10.0, 13.333333333333334, 6.666666666666667]",ozone
대전 유성구,도시대기,525141,구성동,2018070113,0.002,0.4,0.022,0.007,7.0,2.0,대전 유성구 대학로 407 보건환경연구원,7.0,2.0,37,"[5.0, 10.0, 36.666666666666664, 11.666666666666668, 11.666666666666668, 6.666666666666667]",ozone
